seconds_since_Epoch,tested,positive,deaths
1583651326,20,0,
1583700172,23,0,
1583790457,32,0,
1583880060,47,0,
1583981097,60,0,
1584110139,60,1,
1584137412,144,1,
1584396920,251,1,
1584422731,337,3,
1584515664,438,6,
1584661658,513,9,
1584750868,698,12,
1584820938,698,14,
1584910162,698,22,
1585024220,1022,36,
1585100787,1022,42,
1585102036,1691,42,
1585184300,1691,42,1
1585191176,1691,59,1
1585245769,1860,59,1
1585277218,1860,69,1
1585334649,2388,69,1
1585363508,2388,85,2
1585366431,2921,85,2
1585445189,3334,102,2
1585533597,3334,114,3
1585591374,3654,114,3
1585623353,3713,119,3
1585707860,4603,133,3
1585791054,4603,143,3
1585801221,5022,143,3
1585859882,5022,147,3
1585942033,5022,157,3
1586031902,5022,171,5
1586119922,5022,185,6
1586122622,6284,185,6
1586201882,6284,191,6
1586204522,6883,191,6
1586290502,6913,213,6
1586374022,7068,226,7
1586457302,7068,235,7
1586463302,7223,235,7
1586548442,7223,246,7
1586554262,7432,246,7
1586631335,7432,257,8
1586636267,7732,257,8
1586719681,7732,272,8
1586731167,8038,272,8
1586805973,8038,277,8
1586891776,8038,285,9
1586908502,8348,285,9
1586979722,8348,293,9
1586986965,8664,293,9
1587067711,8664,300,9
1587069182,8735,300,9
1587154060,8735,309,9
1587167222,9450,309,9
1587242043,9450,314,9
1587257702,9655,314,9
1587321902,9655,319,9
1587341882,9895,319,9
1587409978,9895,321,9
1587436157,10124,321,9
1587503431,10124,329,9
1587504827,11119,329,9
1587587960,11119,335,9
1587667681,11119,337,9
1587687036,11473,337,9
1587761103,11473,339,9
1587762002,11942,339,9
1587858656,15732,339,9
1587927843,15732,341,9
1587956538,16177,341,9
1588014902,16177,345,9
1588050529,16256,345,9
1588106308,16256,351,9
1588117925,17089,351,9
1588204623,17089,355,9
1588205554,19119,355,9
1588293736,19562,355,9
1588372862,19562,364,9
1588390979,20325,364,9
1588445522,20325,365,9
1588466696,21399,365,9
1588548782,21399,368,9
1588566059,21578,368,9
1588622342,21578,370,9
1588644422,21723,370,9
1588719183,21723,371,9
1588730797,22692,371,9
1588814522,22692,372,10
1588826613,23655,372,10
1588883463,23655,374,10
1588897197,24341,374,10
1588979343,25473,377,10
1589078462,26449,378,10
1589147222,27364,379,10
1589241602,28680,381,10
1589312822,29961,383,10
1589399942,30649,383,10
1589489402,31762,387,10
1589608085,32418,388,10
1589660762,33281,392,10
1589757842,34651,396,10
1589831762,35611,399,10
1589925869,36380,399,10
1590027603,37045,402,10
1590116371,39545,402,10
1590180182,41446,402,10
1590220142,41446,404,10
1590270482,42351,408,10
