seconds_since_Epoch,tested,positive,deaths
1583651326,6,0,
1583768768,12,0,
1583951429,13,1,
1584029116,27,1,
1584055830,50,6,
1584137412,61,9,
1584214605,103,12,
1584286826,149,16,
1584396920,168,22,
1584475630,260,22,
1584563350,319,33,
1584598356,433,37,
1584641939,469,46,
1584661658,559,62,
1584729642,650,96,
1584750868,717,100,
1584814995,839,118,
1584907292,995,165,
1584982167,879,168,
1585004414,908,197,
1585062732,917,206,
1585077154,1165,218,0
1585092445,1228,230,2
1585100787,1230,232,2
1585152300,1286,236,2
1585158458,1717,280,2
1585175447,1752,301,2
1585184300,1777,308,2
1585243622,1814,310,2
1585245769,1839,335,2
1585259866,1868,349,3
1585277218,1882,349,3
1585323729,1884,351,3
1585334649,1926,381,3
1585344829,2009,384,3
1585363508,3269,386,3
1585408369,3310,388,3
1585420273,3342,404,3
1585431799,3398,409,5
1585491292,3448,421,5
1585518353,3498,426,6
1585527544,3536,449,6
1585599246,3536,473,7
1585600094,5735,473,7
1585615607,6028,508,7
1585685048,6482,523,8
1585697549,7433,564,8
1585750613,7920,566,8
1585776709,7977,584,10
1585790485,8460,624,10
1585834570,8461,625,10
1585858082,8523,643,12
1585873322,8992,683,12
1585933263,8996,687,12
1585944062,9699,704,12
1585959062,9791,738,12
1586015943,9822,743,12
1586032622,10370,743,14
1586098502,11143,819,14
1586119922,11242,830,16
1586131322,11780,853,16
1586181843,12824,854,16
1586210703,12845,875,16
1586217302,13264,927,16
1586267582,13624,932,16
1586299082,13691,946,18
1586305863,13778,997,18
1586357342,14530,1000,18
1586385842,14904,1071,18
1586396702,14909,1077,18
1586463302,15651,1119,21
1586477392,15702,1146,21
1586532542,17113,1164,21
1586561102,17151,1202,24
1586621042,18578,1226,24
1586641502,18617,1228,25
1586706722,18752,1277,27
1586713623,19722,1280,27
1586790183,20792,1398,29
1586805134,20804,1410,29
1586824503,21014,1475,30
1586878503,21131,1480,30
1586899922,21203,1498,32
1586963762,21800,1562,32
1586978702,21834,1569,33
1587001202,22289,1599,34
1587067022,22675,1620,37
1587154060,23494,1695,37
1587225243,24141,1739,38
1587314942,24205,1777,38
1587328097,24851,1781,39
1587394562,26483,1853,41
1587436157,26988,1971,42
1587486302,27204,1990,42
1587524523,29057,2262,43
1587587960,29713,2276,43
1587620282,31442,2392,44
1587653942,31563,2438,44
1587676253,33986,2465,45
1587688142,34551,2599,45
1587742922,35443,2606,45
1587774982,35731,2810,47
1587832022,38053,2829,47
1587842567,38059,2830,47
1587860522,38163,2909,48
1587925502,39327,2938,48
1587946721,39469,2941,49
1587954002,39551,3001,50
1588014902,40457,3017,50
1588049762,40629,3069,51
1588118642,43321,3127,57
1588179723,45394,3137,57
1588204623,46505,3207,59
1588256643,48128,3210,59
1588283882,48379,3255,59
1588292582,48379,3281,61
1588372862,49676,3321,64
1588388223,50305,3321,64
1588454042,51582,3372,72
1588530002,52890,3431,76
1588625463,54442,3458,80
1588653302,54608,3469,80
1588715179,56304,3496,82
1588729982,56431,3525,83
1588779602,58713,3527,83
1588799163,59003,3568,85
1588814522,59995,3611,87
1588896482,63994,3694,88
1588994582,65528,3747,88
1589158202,69008,4012,91
1589246342,70323,4043,94
1589328642,73215,4164,95
1589420702,75818,4236,97
1589497202,78505,4366,98
1589598483,81529,4463,98
1589688782,83232,4578,98
1589747643,85185,4759,98
1589848383,87614,4813,100
1589926022,93701,4923,102
1590122437,100391,5458,110
1590220142,103047,5612,113
1590290742,106594,5775,115
