seconds_since_Epoch,tested,positive,deaths
1583651326,56,5,0
1583880060,84,6,0
1583951429,100,9,0
1584055830,115,9,0
1584137412,143,9,0
1584204870,183,12,0
1584396920,206,18,0
1584475630,228,20,0
1584563350,277,27,0
1584641939,349,44,0
1584750868,375,63,0
1584832449,466,104,1
1584894599,523,152,2
1584999108,550,235,2
1585077154,661,326,5
1585184300,777,401,6
1585251221,888,508,8
1585334649,1057,665,13
1585414054,1164,773,15
1585512536,1303,912,16
1585606825,16759,1157,20
1585678676,19371,1289,24
1585763093,21058,1413,29
1585853342,22709,1598,32
1585952762,24673,1769,41
1586017983,27160,2019,52
1586106602,27160,2269,64
1586204522,32534,2456,65
1586277842,33375,2575,73
1586374022,34564,2726,80
1586463302,37178,3018,89
1586554262,37734,3112,97
1586636267,40530,3393,108
1586731167,42109,3539,115
1586818427,43347,3702,122
1586908502,44096,3806,131
1586986965,45310,3962,142
1587081132,47398,4234,150
1587167222,49230,4507,169
1587257702,51045,4719,177
1587341882,52990,4929,184
1587436157,54500,5064,187
1587504827,54500,5251,208
1587598378,56601,5459,229
1587687036,58697,5769,249
1587765483,60714,6045,266
1587858656,62508,6280,273
1587956538,64811,6526,275
1588050529,66543,6716,275
1588117925,67438,6948,275
1588118162,67438,6948,293
1588205554,68813,7202,304
1588293736,71786,7648,320
1588390979,74879,7962,330
1588466696,77997,8364,348
1588566059,81119,8640,362
1588644422,85253,8919,362
1588730797,88260,9305,395
1588826613,103597,9707,426
1588897197,111086,9945,450
1588995062,119907,10526,517
1589173661,137739,11119,536
1589251902,150241,11380,542
1589328642,159082,11736,562
1589423598,165810,12176,594
1589518300,175455,12674,624
1589607538,186904,13169,651
1589669403,194504,13631,679
1589772705,203006,13937,680
1589855073,212784,14170,686
1589926754,220612,14566,704
1590028013,227099,14897,747
1590122437,237417,15315,763
1590220142,245486,15608,775
1590290743,253789,16039,799
