seconds_since_Epoch,tested,positive,deaths
1583651326,515,88,1
1583713441,515,114,1
1583823426,515,133,1
1583896735,515,157,2
1583909675,847,157,2
1583981097,847,177,3
1584033110,867,177,3
1584055830,888,198,4
1584137412,937,247,5
1584306715,937,335,6
1584333619,1025,335,6
1584422731,8316,392,6
1584475630,8316,472,11
1584563350,8316,598,13
1584641939,8316,675,16
1584729642,8316,1006,19
1584820938,8316,1224,23
1584910162,8316,1468,27
1584925395,26200,1468,27
1584988372,26400,1733,27
1585081911,26400,1733,27
1585092445,27650,2102,40
1585175447,27650,2535,40
1585184300,27650,2535,53
1585243622,66800,2535,53
1585259866,77800,3006,65
1585349306,77800,3801,78
1585429267,77800,4643,101
1585440114,89600,4643,101
1585605816,89600,5763,135
1585689808,89600,6932,150
1585786329,89600,8155,171
1585791054,90100,8155,171
1585873862,92500,9191,203
1585950542,94800,10701,237
1586035802,126700,12026,276
1586119922,126700,13438,319
1586121902,131500,13438,319
1586216343,131500,14336,343
1586219162,143800,14336,343
1586305622,157800,15865,374
1586396702,168800,16957,442
1586477392,177600,18309,492
1586561102,185300,19472,541
1586647152,196200,20615,609
1586719681,196200,21794,651
1586730843,203400,21794,651
1586822057,203400,22348,687
1586822162,212900,22348,687
1586907782,215400,23338,758
1586993163,215400,24424,821
1587013862,227600,24424,821
1587080222,227600,26182,890
1587080282,246400,26182,890
1587161583,246400,27528,985
1587161762,258800,27528,985
1587252663,266900,28963,1072
1587341959,280900,28963,1072
1587436157,280900,30978,1208
1587436982,290500,30978,1208
1587516517,300100,33261,1268
1587620282,308700,35396,1354
1587688651,308700,37369,1469
1587767402,494173,39254,1562
1587858656,506035,41137,1651
1587946721,526084,42164,1710
1588014902,553409,43464,1755
1588117925,577608,45031,1809
1588204623,577608,46500,1887
1588204682,603139,46500,1887
1588292582,625337,48917,1982
1588386963,625337,50442,2073
1588390979,654985,50442,2073
1588445522,654985,52197,2171
1588466696,685048,52197,2171
1588566059,715751,53616,2215
1588642682,715751,54937,2254
1588644422,747874,54937,2254
1588729982,747874,56212,2317
1588730797,779902,56212,2317
1588799163,779902,58815,2412
1588826613,809036,58815,2412
1588897743,842874,60614,2504
1588994582,875272,62512,2585
1589147222,955664,66680,2745
1589252282,991897,67939,2770
1589328842,1033370,69382,2847
1589431562,1033370,71141,2934
1589489402,1065592,71141,2934
1589518300,1104651,73164,3032
1589598483,1133906,74936,3108
1589660762,1179126,76793,3204
1589772962,1235243,78839,3261
1589861102,1292672,80430,3302
1589926022,1339316,81795,3334
1590028262,1380120,84057,3436
1590116371,1421127,86197,3542
1590220142,1466773,88444,3630
1590290743,1466773,90631,3708
1590371050,1582745,92710,3774
1590451622,1644102,94558,3795
