seconds_since_Epoch,tested,positive,deaths
1583651326,10,0,
1583768768,18,0,
1583880060,20,0,
1583981097,31,1,
1584029116,41,4,
1584055830,44,4,
1584137412,72,4,
1584208421,74,6,
1584306715,74,7,
1584396920,74,8,0
1584498947,74,16,0
1584563350,74,25,0
1584598356,74,26,0
1584641939,74,30,0
1584727343,74,38,0
1584750868,75,39,0
1584804875,76,40,0
1584820938,81,45,0
1584890168,83,47,0
1584910162,92,56,0
1584982167,104,68,0
1584999109,123,87,0
1585062732,127,91,0
1585084902,140,104,0
1585158458,151,115,0
1585175447,155,119,0
1585245769,166,130,0
1585267264,179,143,0
1585324706,199,163,0
1585349306,201,165,0
1585414054,249,213,0
1585429267,250,214,0
1585500291,268,232,0
1585526531,268,232,6
1585583156,300,264,6
1585602613,300,264,7
1585686502,355,319,10
1585707860,4015,319,10
1585770302,4064,368,11
1585863482,4089,393,12
1585944062,4146,450,12
1585950542,4146,450,14
1586038142,4289,593,14
1586119922,4369,673,14
1586123222,6994,673,14
1586210703,7634,783,15
1586299082,8556,928,16
1586379182,8621,993,18
1586380922,9439,1116,19
1586469902,9892,1209,23
1586554262,11674,1259,23
1586561102,11674,1326,32
1586637773,11674,1479,33
1586727182,11674,1625,35
1586727302,11820,1625,35
1586813419,12304,1761,41
1586907782,12869,1926,43
1586985047,13102,2014,46
1587071976,13350,2075,52
1587167222,14017,2323,61
1587252663,14794,2538,67
1587405602,16470,2745,72
1587503431,16470,2931,82
1587573023,16553,3200,89
1587661123,16912,3308,89
1587667681,16912,3308,92
1587761103,17379,3442,100
1587842567,17698,3576,112
1587925502,19249,4034,120
1588006862,19616,4162,125
1588093322,19764,4310,131
1588097822,21180,4575,137
1588179723,21538,4655,144
1588267502,21820,4734,152
1588353243,22585,4918,159
1588437482,23112,5038,168
1588527024,23737,5208,177
1588622342,24110,5288,182
1588698294,24680,5371,187
1588791962,26468,5778,193
1588897544,27326,5939,202
1588957562,28264,6111,213
1589047202,29296,6277,221
1589128022,31039,6447,224
1589223723,31928,6565,225
1589301242,33291,6741,237
1589395442,34753,6952,247
1589477762,36857,7223,260
1589557142,37657,7305,268
1589557982,38278,7373,271
1589648342,39758,7547,286
1589737323,40865,7670,290
1589818982,42458,7869,297
1589925869,44132,8037,304
1590122437,47542,8386,317
1590220142,48986,8529,322
1590290743,50534,8690,324
1590371050,51870,8809,326
