seconds_since_Epoch,tested,positive,deaths
1583651326,211,17,2
1583700173,243,17,2
1583713441,244,18,2
1583768768,273,18,2
1583804881,274,19,2
1583855685,397,20,2
1583900198,405,28,2
1583951429,476,28,2
1583981097,479,31,2
1584022321,482,34,2
1584055830,483,35,2
1584076983,497,49,2
1584110139,498,50,2
1584137412,755,56,2
1584161186,776,77,3
1584243426,776,77,4
1584255108,814,115,4
1584306715,1247,115,4
1584333620,1347,149,4
1584396920,1347,155,4
1584412310,1347,160,4
1584422731,1824,160,5
1584475630,1347,192,6
1584498947,2294,216,7
1584563350,2294,314,7
1584598356,2800,328,8
1584631341,2942,390,8
1584661658,3254,432,9
1584727343,3416,520,10
1584750868,7367,563,11
1584804875,8239,658,12
1584832449,9338,763,12
1584890168,9783,830,13
1584921301,11270,1007,13
1584982167,13094,1171,14
1585004414,13965,1227,18
1585062732,15547,1227,18
1585067114,15547,1412,18
1585092445,15547,1467,20
1585100787,16046,1467,20
1585152300,16046,1682,22
1585158458,18289,1682,22
1585175447,18289,1977,23
1585184300,23723,1977,23
1585243622,27539,2355,28
1585267264,29114,2484,29
1585326353,32468,2900,34
1585363508,33822,3198,46
1585414054,40250,3763,54
1585420273,40827,3763,54
1585434179,43071,3763,54
1585438466,43071,4038,56
1585495776,45045,4246,56
1585520611,50528,4246,56
1585524040,50528,4950,60
1585582196,55193,5473,63
1585611141,56702,5704,71
1585669496,56702,6338,77
1585671592,61802,6338,77
1585693173,61802,6741,85
1585694674,64661,6741,85
1585756118,67734,6741,85
1585760279,67734,6955,87
1585783485,69265,7773,101
1585842253,76641,7773,101
1585843611,76641,8010,128
1585845723,78604,8010,128
1585873322,78604,9008,144
1585873862,80356,9008,144
1585933263,91722,9585,163
1585952762,95835,9585,163
1585959062,95835,10268,170
1586015943,103389,11111,191
1586038142,107313,11111,191
1586039402,107313,11545,195
1586098502,114580,11545,218
1586098563,114580,12151,218
1586126702,116898,12350,221
1586193362,116898,13324,236
1586196603,124477,13324,236
1586212442,126048,13629,254
1586273822,138618,13629,254
1586274662,138618,14504,283
1586299082,139669,14747,296
1586358062,144570,14747,296
1586362142,144570,15456,309
1586385842,144570,15456,323
1586388242,144570,15698,323
1586449142,152699,15698,323
1586449682,152699,16364,354
1586469902,156852,16364,354
1586477392,156852,16364,371
1586478662,156852,16826,371
1586533803,162993,17531,390
1586561102,165686,17968,419
1586621042,173187,17968,419
1586621577,173187,18494,446
1586647152,173187,18986,446
1586647622,173187,18986,446
1586649838,175834,18986,446
1586706722,183222,18986,446
1586708299,183222,19347,452
1586729403,185520,19347,452
1586731382,185520,19347,461
1586734314,185520,19895,461
1586795582,197996,20601,470
1586817603,201005,20601,470
1586818427,201005,21019,499
1586883721,205413,21367,524
1586907782,207842,21628,571
1586963762,207842,22081,591
1586967662,212588,22081,591
1586979722,215158,22081,591
1586993163,215521,22519,614
1587052202,220892,22897,633
1587080222,225736,22897,633
1587081132,225736,23340,633
1587081429,225736,23340,668
1587141026,236503,23340,668
1587142442,236503,24119,686
1587167222,241913,24753,726
1587228842,248412,25269,740
1587252663,253183,25269,740
1587256322,253183,25492,740
1587257702,253183,25492,748
1587314942,257877,25996,764
1587334475,262495,26314,774
1587405602,262495,26660,774
1587409978,267957,26660,789
1587436157,273552,27058,823
1587489542,278888,27495,839
1587507668,284206,27495,867
1587511802,284206,27869,867
1587571827,284206,28309,893
1587573023,290476,28309,893
1587598378,290476,28576,927
1587661123,298587,28576,960
1587667681,298587,28832,960
1587681960,303050,28832,960
1587687036,303050,29648,987
1587742922,318827,30174,1012
1587765483,320984,30533,1046
1587832022,334974,30839,1055
1587925502,346365,31528,1074
1588006862,358127,32138,1088
1588093322,368651,32846,1171
1588179723,375300,33193,1218
1588294142,382405,33690,1268
1588345982,402699,34728,1314
1588466995,416012,35463,1364
1588548783,428189,36078,1379
1588607463,444270,36897,1399
1588692242,465691,37439,1471
1588779602,480051,38002,1539
1588883463,492950,38828,1600
1588957562,513341,39199,1669
1589036822,527731,40001,1715
1589139602,538948,40596,1721
1589208122,561057,40982,1735
1589301242,561057,41923,1779
1589387283,561057,42402,1827
1589518558,609574,42402,1875
1589608085,629895,44138,1917
1589652063,630795,44811,1964
1589747643,653081,45588,1973
1589861222,658522,45588,1997
1589940380,681314,45684,2052
1589997062,681314,45684,2096
1590028013,687422,47471,2096
1590122437,691808,48675,2144
1590220142,723585,49451,2190
1590290743,756068,50127,2233
