seconds_since_Epoch,tested,positive,deaths
1583651326,,,
1583713441,,5,
1583768768,,11,
1583790457,,12,
1583823426,,17,
1583896735,,22,
1583909675,22,22,
1584033110,22,31,
1584055830,31,31,0
1584076983,42,42,1
1584161186,64,64,1
1584204870,66,66,1
1584255108,91,91,1
1584295521,99,99,1
1584396920,121,121,1
1584422731,143,143,1
1584475630,146,146,1
1584563350,1508,197,1
1584641939,1831,287,10
1584727343,2386,420,13
1584750868,2386,485,14
1584814995,3064,507,14
1584836272,3616,555,20
1584894599,4020,600,23
1584921301,4020,620,25
1584982167,5069,772,25
1585015867,5069,800,26
1585067114,5484,1026,32
1585092445,5484,1097,38
1585158458,6179,1247,40
1585184300,6179,1387,47
1585243622,8926,1525,48
1585267264,8948,1643,56
1585326353,9865,2001,64
1585363508,9865,2198,65
1585414054,11051,2366,69
1585438466,11051,2446,79
1585499554,12564,2651,80
1585524040,12564,2683,83
1585588433,12566,2809,87
1585615607,13457,3032,102
1585671592,16181,3817,108
1585688590,16181,3929,111
1585697549,16181,4117,125
1585760279,20326,4638,139
1585783485,20328,4748,154
1585845723,22957,5348,163
1585873322,22957,5444,176
1585933263,25265,5831,184
1585959062,25265,5967,198
1586018582,26294,6160,201
1586043602,26294,6383,208
1586107263,27832,6647,211
1586127842,27832,6742,219
1586190842,31274,7314,229
1586214302,31274,7558,294
1586276522,33713,8818,329
1586305622,33785,9156,348
1586362142,38787,9881,362
1586368682,38787,9901,362
1586388242,38787,10189,369
1586400902,38787,10204,370
1586449142,41085,10566,379
1586477392,41085,10885,412
1586534462,46147,11483,416
1586562237,46147,11859,425
1586622542,51715,12159,428
1586647152,51715,12261,432
1586707323,54453,12452,433
1586734314,54453,12547,442
1586738971,54453,12550,442
1586795582,57021,13315,464
1586822057,57038,13621,480
1586884442,61795,14223,501
1586911133,61795,14578,524
1586971563,64090,14987,552
1586993163,64099,15260,576
1587044733,65191,15409,579
1587048543,67885,15454,584
1587055802,67939,15669,587
1587080222,67939,16368,617
1587142443,71684,17194,650
1587167222,71693,17432,668
1587257702,74208,17841,677
1587314942,79933,18301,687
1587394562,79933,18489,689
1587405602,84328,18947,733
1587436157,84328,19399,775
1587503431,88140,19881,799
1587516782,88140,20166,818
1587571827,94072,20740,836
1587598378,94072,21102,846
1587661123,101062,21512,872
1587687036,101062,21883,881
1587762002,107176,22147,892
1587774982,107176,22491,899
1587833703,119014,22695,904
1587858656,119014,23216,907
1587925502,122604,23401,912
1587955787,122604,23481,916
1588006862,127169,23773,942
1588106582,140020,24767,1035
1588205805,143790,25646,1096
1588294142,164465,26264,1132
1588391258,168367,27504,1167
1588466696,174800,28330,1175
1588548783,174800,28602,1177
1588562642,183002,28661,1181
1588602602,183002,29011,1184
1588607463,183002,29103,1204
1588622342,183012,29229,1214
1588625463,183012,29343,1217
1588634222,183012,29409,1224
1588642683,183012,29442,1244
1588643522,183012,29442,1245
1588653302,183012,29442,1246
1588692242,200814,29499,1255
1588695542,200814,29560,1258
1588698294,200814,29598,1258
1588715179,200814,29769,1292
1588719183,200814,29839,1294
1588725243,200814,29892,1295
1588729982,200814,29900,1295
1588774922,204137,30506,1299
1588779602,204137,30526,1302
1588791962,204137,30649,1306
1588799163,204137,30706,1311
1588814522,204137,30738,1327
1588859942,217303,31150,1328
1588871582,217303,31309,1336
1588883463,217303,31468,1340
1588891082,217303,31509,1340
1588896482,217303,31580,1348
1588944302,225937,31624,1351
1588957562,227477,31722,1356
1588962543,227477,32016,1357
1588969442,227477,32078,1362
1588979282,227477,32126,1395
1588994583,227477,32181,1399
1588995062,227477,32181,1400
1589036822,235324,32453,1400
1589047202,235324,32511,1400
1589078462,235324,32588,1402
1589122142,243547,32670,1404
1589128022,243547,32969,1404
1589139602,243547,32980,1404
1589147222,243547,33441,1405
1589158202,243547,33508,1405
1589163602,244458,33580,1405
1589208122,251288,33833,1405
1589223723,251288,33927,1441
1589246342,251288,34002,1444
1589329022,262179,34848,1494
1589431623,273904,35427,1517
1589462402,285881,35793,1523
1589477762,285881,35858,1527
1589518300,285881,35977,1544
1589557142,301874,36544,1548
1589598483,301874,36772,1588
1589647202,321069,37078,1588
1589659862,321069,37147,1592
1589688782,321069,37212,1598
1589729462,351175,37701,1601
1589737323,351175,37701,1606
1589767443,351175,37701,1609
1589810162,364289,37910,1612
1589828523,364289,38081,1642
1589848383,364289,38283,1649
1589925869,378156,38721,1664
1589940049,378156,38855,1675
1589993582,402940,38889,1684
1589997062,402940,39647,1687
1590027603,402940,39801,1697
1590074702,404207,40157,1724
1590116371,407748,40663,1775
1590176522,427249,41218,1785
1590220142,427249,41482,1808
1590270482,453537,42132,1811
