seconds_since_Epoch,tested,positive,deaths
1583651326,17,0,
1583713441,37,3,
1583804881,51,8,
1583896735,86,13,
1583981097,105,14,
1584055830,128,16,
1584161186,128,17,
1584243426,128,18,
1584396920,128,22,
1584475630,128,23,
1584498947,128,29,
1584598356,128,38,
1584661658,128,44,
1584750868,128,45,
1584814995,151,68,
1584907292,173,90,
1584982168,188,105,
1585024220,2148,105,
1585067114,2167,124,
1585077154,2439,124,
1585158458,2460,145,
1585169788,2723,145,
1585245769,2757,179,
1585327450,2813,235,
1585334649,3975,235,
1585370436,3975,235,3
1585414054,4673,298,3
1585502562,4711,336,3
1585505264,5349,336,4
1585588433,5437,424,6
1585590026,6586,424,6
1585678676,7385,497,7
1585760279,7853,549,9
1585847582,7918,614,11
1585850102,8668,614,11
1585933263,8753,699,11
1585934162,9463,699,11
1586017983,9550,786,14
1586024942,10240,786,14
1586111042,10320,866,14
1586119923,10841,868,22
1586190842,10919,946,25
1586276522,11021,1048,26
1586295602,12718,1048,26
1586362142,12815,1145,26
1586368682,13966,1145,27
1586449682,14091,1270,27
1586450942,14973,1270,29
1586535663,15091,1388,31
1586537222,15953,1388,31
1586621042,16075,1510,34
1586621577,17132,1510,34
1586723426,17592,1587,41
1586795582,17715,1710,41
1586808712,18696,1710,43
1586910902,19366,1899,49
1587007654,19869,1995,53
1587081132,20675,2141,60
1587167222,21792,2332,64
1587257702,22947,2513,74
1587341882,24550,2902,75
1587436157,25820,3159,79
1587504827,27615,3641,83
1587598378,28244,3748,90
1587687036,29262,3924,96
1587763862,31973,4445,107
1587858656,34350,5092,112
1587956538,36090,5475,118
1588050529,38150,5868,127
1588117925,39823,6376,136
1588205554,41337,6843,148
1588293736,42667,7145,162
1588390979,45593,7884,170
1588466696,49727,8641,175
1588566059,53186,9169,184
1588644422,57161,9703,188
1588730797,60569,10111,207
1588826613,63171,10404,219
1588897197,66427,11059,231
1588995062,70261,11457,243
1589173661,74174,11959,265
1589251902,77792,12373,271
1589328642,81288,12912,289
1589423598,85719,13289,306
1589518300,89294,13675,318
1589607538,93556,14049,336
1589669403,96300,14328,346
1589772705,100241,14651,351
1589855073,104576,15093,364
1589926754,107647,15349,372
1590028013,112452,15722,393
1590122437,118471,16295,416
1590220143,123266,16767,441
1590290743,125874,17017,447
1590371050,128053,17251,456
