seconds_since_Epoch,tested,positive,deaths
1583651326,,1,
1583804881,32,4,0
1583855685,36,6,0
1583936067,43,10,0
1584029116,64,12,0
1584110139,73,12,0
1584204870,89,15,0
1584286826,121,19,0
1584396920,139,24,1
1584475630,159,30,2
1584563350,193,39,2
1584631341,380,56,2
1584727343,554,79,2
1584750868,554,79,3
1584804875,833,126,3
1584832449,833,126,4
1584890168,1494,201,4
1584910163,1494,201,6
1584982168,1960,259,7
1585062732,2931,365,12
1585152300,3356,477,14
1585243622,4651,645,17
1585323729,6936,981,24
1585408369,8407,1232,31
1585493990,9830,1514,32
1585578094,11658,1786,35
1585667018,13373,2159,49
1585750613,14375,2565,65
1585837700,16285,3039,78
1585933263,17835,3437,102
1586015943,19800,3953,116
1586098502,22652,4411,127
1586186882,26191,4944,139
1586267582,28764,5507,173
1586357342,30869,5943,203
1586449142,32133,6351,245
1586532542,35040,6907,300
1586617982,39215,7435,330
1586706722,42489,7928,343
1586795582,44539,8236,350
1586883721,46017,8527,387
1586967662,48396,8955,436
1587055202,51115,9542,477
1587141026,54785,10154,519
1587228842,56873,10641,545
1587314942,61142,11210,562
1587405602,64639,11686,569
1587486302,67264,12097,630
1587571827,69470,12438,661
1587697082,72040,13039,706
1587766398,75553,13680,741
1587832022,79774,14395,785
1587925502,81708,15012,813
1588006862,84476,15961,844
1588090562,87181,16588,901
1588179723,91550,17182,964
1588267502,94998,17835,1007
1588349822,99639,18630,1062
1588436462,104141,19295,1115
1588525202,108859,19933,1132
1588610102,113297,20507,1151
1588695542,115834,21033,1213
1588791962,120496,21870,1264
1588871582,124782,22503,1295
1588957562,130128,23146,1328
1589047202,135686,23732,1362
1589128022,140029,24126,1379
1589223723,146688,24627,1411
1589301242,150510,25127,1444
1589387283,154083,25473,1482
1589477762,160239,26053,1508
1589562722,165448,26655,1550
1589648342,171358,27280,1596
1589737323,177243,27778,1607
1589818982,183912,28255,1621
1589925869,189330,28705,1678
1589993582,195738,29274,1716
1590079262,202995,29936,1764
1590176522,208561,30409,1791
1590270482,214933,30901,1812
1590348543,220801,31376,1824
1590427082,226251,31715,1832
