seconds_since_Epoch,tested,positive,deaths
1583651326,8,0,
1583790458,8,1,
1583880060,8,3,
1583900198,8,6,
1583981097,13,13,0
1584029116,14,14,0
1584055830,19,19,0
1584110139,33,33,0
1584137412,36,36,0
1584161186,108,36,0
1584204870,108,53,0
1584214605,108,69,0
1584225605,210,77,1
1584286826,247,91,2
1584333620,284,103,2
1584396920,302,114,2
1584412310,374,136,3
1584475630,457,171,4
1584498947,531,196,4
1584598356,703,280,7
1584631341,805,347,8
1584661658,899,392,10
1584727343,1047,479,10
1584750868,1931,537,14
1584804875,2765,585,16
1584836272,3302,763,20
1584890168,3498,837,20
1584988373,5948,1172,34
1585077154,8603,1388,46
1585158458,11451,1795,65
1585245769,18029,2305,83
1585330099,21359,2746,119
1585415582,25161,3315,137
1585502562,27871,3540,151
1585588836,34033,4025,185
1585595874,34104,4025,185
1585678676,38967,5237,239
1585760790,45776,6424,273
1585847582,51086,9150,310
1585934162,53645,10297,370
1586031902,58498,12496,409
1586107263,60325,13010,477
1586193363,69166,14867,512
1586280603,74655,16284,582
1586368682,81406,17030,652
1586451902,86919,18283,702
1586543273,92280,19253,755
1586625362,96915,20014,806
1586713623,104045,20595,840
1586798081,108091,21016,884
1586884442,118422,21518,1013
1586971563,121928,21951,1103
1587062999,126586,22532,1156
1587144302,131987,23118,1213
1587242043,137999,23580,1267
1587321902,141504,23928,1296
1587405602,141561,24523,1328
1587503880,141561,24854,1405
1587595142,141672,25258,1473
1587688562,141858,25739,1540
1587766398,141858,26140,1601
1587833703,141858,26512,1644
1587925502,143036,26773,1670
1588014902,143036,27068,1697
1588097822,143036,27286,1758
1588182062,143036,27660,1802
1588267502,143036,28001,1862
1588294142,161309,28001,1862
1588353243,161309,28711,1927
1588445522,161309,29140,1950
1588467182,172858,29140,1950
1588527024,176160,29340,1969
1588622342,180931,29673,1991
1588698294,188231,29996,2042
1588799222,194672,30399,2094
1588871582,200767,30652,2135
1588962543,202416,30855,2154
1589047202,212157,31417,2194
1589139602,215872,31600,2213
1589223723,220830,31815,2242
1589304002,228012,32050,2281
1589395442,237904,32662,2315
1589477762,247588,33489,2351
1589562722,253189,33837,2382
1589659862,259742,34117,2413
1589737323,265170,34432,2425
1589822702,269748,34709,2440
1589925869,278073,35038,2458
1589997062,285970,35316,2485
1590116371,305381,36504,2506
1590176522,305381,36925,2506
1590270482,305381,37040,2506
1590371050,316036,37169,2567
