seconds_since_Epoch,tested,positive,deaths
1583651326,,13,
1583700173,,28,
1583790458,,41,
1583880060,,92,
1583909676,92,92,
1583981097,95,95,
1584055830,108,108,
1584137412,123,123,
1584225605,138,138,
1584306715,164,164,
1584396920,1296,197,
1584498947,1751,218,
1584598356,2271,256,
1584661658,3132,328,
1584750868,4091,413,
1584832449,4091,525,
1584921301,4091,646,
1584999109,4091,777,
1585024220,8922,777,9
1585081911,13749,1159,11
1585169788,13749,1838,11
1585184300,19794,1838,15
1585257048,23621,2417,25
1585342922,29371,3240,35
1585425607,29371,4257,44
1585434179,35049,4257,44
1585512536,39066,4955,48
1585599246,42793,5752,56
1585685048,42793,6620,56
1585685166,46935,6620,89
1585776709,51738,7738,122
1585858803,51738,8966,122
1585860363,56608,8966,154
1585945742,62962,10402,192
1586031902,62962,11736,192
1586037362,68800,11736,216
1586119923,68800,12500,231
1586121542,71937,12500,231
1586204943,76429,13837,260
1586295722,81344,15202,356
1586380922,87511,16790,433
1586469902,94958,18941,503
1586551922,102372,20974,599
1586637089,108776,22860,686
1586723426,116730,25475,756
1586811056,122049,26867,844
1586894727,126551,28163,957
1586985047,126551,29918,1108
1587013862,132023,29918,1108
1587067711,132023,32181,1245
1587068779,140773,32181,1245
1587155617,148744,34402,1404
1587242043,156806,36372,1560
1587328097,162241,38077,1706
1587436157,169398,39643,1809
1587503431,175372,41199,1961
1587594782,180462,42944,2182
1587681960,195076,46023,2360
1587767642,195076,50969,2360
1587767762,215213,50969,2556
1587849295,226845,53348,2730
1587946721,236100,54938,2899
1588028316,244887,56462,3003
1588106308,254500,58302,3153
1588204623,265618,60265,3405
1588283882,275647,62205,3562
1588372862,275647,64311,3562
1588391259,289636,64311,3716
1588449782,289636,66263,3716
1588466696,298994,66263,3846
1588548783,298994,68087,3846
1588566059,314646,68087,4004
1588625463,314646,69087,4004
1588644422,324268,69087,4090
1588715179,324268,70271,4090
1588730797,333349,70271,4212
1588799222,333349,72025,4212
1588802942,339639,72025,4420
1588883463,351632,73721,4552
1588979282,366023,75333,4702
1589078462,376537,76743,4840
1589147222,388389,77793,4979
1589241602,394728,78462,5108
1589328642,401496,79332,5141
1589420702,410032,80497,5315
1589497202,424361,82182,5482
1589598483,435679,83421,5592
1589660762,448089,84933,5705
1589747643,460826,86010,5797
1589848383,469199,87052,5862
1589926423,476940,87925,5938
1590027603,489953,88970,6066
1590116371,501486,90084,6148
1590220143,511644,90889,6228
1590270782,520986,91662,6304
1590369890,532373,92675,6372
1590451622,540561,93271,6416
