seconds_since_Epoch,tested,positive,deaths
1583651326,44,3,
1583700173,55,3,
1583768768,78,5,
1583855685,95,6,
1583896735,103,9,
1584029116,103,12,
1584033110,106,12,
1584137412,111,17,
1584286826,111,31,
1584295521,125,31,
1584396920,131,37,
1584475630,151,57,
1584563350,179,85,
1584631341,201,107,1
1584727343,243,149,1
1584804875,284,190,1
1584832449,284,190,2
1584890168,338,244,3
1584982168,382,288,3
1585062732,443,349,3
1585152300,517,423,4
1585243622,674,580,4
1585323729,868,774,5
1585408369,1086,992,5
1585493990,1333,1239,10
1585578095,1507,1413,15
1585583546,14729,1413,15
1585667018,16528,1660,18
1585750613,19218,1985,31
1585837701,21221,2331,36
1585933263,23690,2758,42
1586015943,25610,3125,53
1586098502,28337,3609,67
1586186882,29617,4045,91
1586272682,31627,4371,103
1586357342,38462,5529,124
1586449142,41529,6185,138
1586532542,44448,6968,171
1586617982,47238,7694,206
1586706722,49764,8225,235
1586790183,51751,8936,262
1586878503,53733,9472,302
1586963762,55763,10032,349
1587047812,58843,10784,392
1587132903,62009,11572,425
1587225243,65370,12308,463
1587314942,67891,12830,486
1587394562,71397,13684,516
1587486302,73635,14193,584
1587571827,76529,14775,631
1587653942,80100,15737,680
1587742922,84716,16616,723
1587832022,89123,17766,797
1587956773,96665,18581,827
1588050529,104976,19487,858
1588050902,104976,19487,945
1588106582,104976,19487,1016
1588205554,110929,20849,1078
1588293736,114359,21742,1140
1588390979,120983,23472,1192
1588466696,125522,24473,1251
1588527024,132794,25462,1251
1588602602,136995,26408,1251
1588644542,136995,26408,1317
1588692242,140103,27117,1317
1588730797,140103,27117,1390
1588774922,144012,28163,1390
1588826762,144012,28163,1437
1588871582,148600,29374,1437
1588897197,148600,29374,1503
1588957562,152187,30485,1503
1588979642,152187,30485,1560
1589036822,156028,31534,1614
1589122142,159931,32587,1644
1589208122,164780,33373,1683
1589301242,169503,34061,1756
1589387283,173574,34812,1809
1589476322,178454,35903,1866
1589557142,182826,36986,1911
1589647202,190175,37968,1957
1589729462,194926,38804,1992
1589818142,201506,39762,2023
1589925869,208658,41546,2081
1589993582,215330,42323,2123
1590074702,220233,43531,2159
1590176522,227902,44424,2207
1590270482,232327,45495,2243
1590348543,240362,46313,2277
1590427082,249577,47152,2302
