seconds_since_Epoch,tested,positive,deaths
1583651326,,0,
1583909676,25,0,
1584029116,85,0,
1584055830,86,1,
1584137412,111,3,
1584396920,781,17,
1584475630,1335,32,
1584563350,1712,42,
1584641939,2056,52,
1584727343,2320,56,
1584814995,2334,70,
1584907292,2353,89,
1584982168,2898,107,
1585067114,3132,118,
1585152300,3319,142,
1585243622,3549,155,
1585324706,3562,168,
1585370436,3562,168,1
1585408369,3605,211,1
1585499554,3647,253,1
1585584020,3669,275,3
1585667018,3697,303,5
1585755463,3738,344,7
1585835727,3770,376,7
1585933263,3826,432,9
1586015943,3850,456,10
1586106182,3864,470,10
1586190242,3893,499,10
1586275562,3913,519,12
1586358362,3931,537,14
1586449142,3954,560,16
1586534462,3980,586,17
1586621042,4010,616,19
1586706722,4027,633,19
1586795582,4092,698,19
1586883721,4128,734,20
1586967662,4164,770,24
1587055202,4190,796,27
1587141026,4221,827,29
1587242043,4241,847,32
1587314942,4261,867,34
1587342182,14943,867,34
1587405602,14951,875,35
1587486302,14964,888,36
1587571827,14983,907,39
1587661123,15013,937,44
1587761103,15041,965,47
1587832022,15066,990,50
1587925502,15091,1015,50
1588006862,15099,1023,51
1588090562,15116,1040,51
1588179723,15132,1056,52
1588267502,15171,1095,53
1588294438,20641,1095,53
1588349822,20669,1123,55
1588436462,20698,1152,56
1588525202,20731,1185,57
1588731062,20772,1226,61
1588859402,23346,1254,62
1588871582,23422,1330,62
1588957562,23466,1374,63
1589047202,23500,1408,64
1589128022,23528,1436,64
1589223723,23554,1462,65
1589304002,23569,1477,65
1589395442,23607,1515,66
1589420702,34550,1515,66
1589477762,34600,1565,69
1589562722,34638,1603,69
1589648342,34683,1648,70
1589737323,34722,1687,70
1589822702,34748,1713,71
1589925869,34776,1741,73
1589993582,34854,1819,73
1590122437,37725,1877,73
1590220143,37725,1948,75
1590290743,37725,2013,77
1590371050,37725,2055,78
