seconds_since_Epoch,tested,positive,deaths
1583651326,49,1,
1583730615,80,2,
1583790458,82,2,
1583880060,135,3,
1583951429,222,5,
1584055830,316,9,
1584137412,555,14,
1584208421,868,21,
1584286826,1422,35,
1584396920,1893,54,
1584475630,2336,60,
1584563350,2762,77,
1584641940,3038,89,
1584727343,3856,115,
1584814995,4090,138,
1584832449,4090,137,1
1584894599,4680,169,1
1584982168,4680,235,1
1585067114,4680,262,1
1585081911,5812,262,1
1585158458,11475,287,1
1585243622,12950,287,2
1585251221,12950,346,2
1585326353,14003,398,4
1585414054,16129,441,5
1585505264,17657,503,9
1585588433,18822,576,10
1585671592,19780,629,12
1585760279,21191,689,17
1585845723,22394,742,18
1585933263,24227,789,18
1585946582,24227,789,22
1586017983,25423,865,24
1586106182,26777,935,29
1586190842,28128,986,30
1586276522,29260,1069,34
1586362203,30753,1154,39
1586449682,32294,1242,50
1586535663,33894,1336,50
1586555254,33894,1336,57
1586621578,35404,1427,64
1586708299,37421,1621,70
1586795582,38427,1650,70
1586883721,39241,1695,79
1586967662,40242,1809,87
1587055802,41675,1912,94
1587141026,43053,2071,111
1587228842,44368,2213,121
1587314942,45716,2356,134
1587405602,46850,2470,143
1587491102,47697,2567,143
1587491162,47697,2567,160
1587573023,49344,2721,179
1587661123,51548,2942,200
1587761103,53787,3185,200
1587766398,53787,3185,221
1587832022,56597,3446,244
1587925502,58987,3602,272
1588006862,61268,3816,286
1588090562,63829,4181,301
1588179723,66744,4644,319
1588267502,70276,5136,343
1588349822,74829,5730,371
1588436462,79007,6228,395
1588527024,82632,6663,419
1588610103,85941,7234,428
1588695542,88009,7851,455
1588791962,93232,8579,485
1588871582,97421,9365,508
1588957562,101270,10088,534
1589047202,106263,10790,558
1589128022,111088,11271,578
1589223723,115781,11799,591
1589301242,120834,12494,614
1589387283,122035,12917,638
1589477762,128752,13435,663
1589562722,134669,14240,683
1589648342,143281,14969,700
1589737323,150605,15668,722
1589818982,156606,16372,731
1589925869,161835,17029,748
1589993582,167338,17670,777
1590079262,173556,18200,809
1590176522,180971,19005,842
1590270482,189493,19845,852
