seconds_since_Epoch,tested,positive,deaths
1583651326,,1,
1583909676,1,1,
1584055830,73,2,
1584148400,94,4,0
1584243426,127,5,0
1584396920,170,6,0
1584412310,215,8,0
1584498947,268,15,0
1584598356,332,24,1
1584683488,397,28,1
1584750868,416,47,1
1584804875,442,73,3
1584907292,459,90,3
1584982168,475,106,3
1584992546,552,183,3
1585077155,596,227,3
1585084902,624,255,5
1585184300,725,356,8
1585257049,871,502,8
1585339080,1039,670,9
1585424731,1207,838,10
1585518353,1272,903,12
1585583156,14107,903,12
1585597050,14107,1031,13
1585603918,15645,1031,13
1585681707,15645,1327,14
1585759232,17427,1327,14
1585776709,17427,1581,18
1585790485,19430,1581,18
1585858082,19430,1834,19
1585868342,21191,1834,19
1585942033,21191,2113,19
1585952762,24727,2113,19
1586031902,24727,2291,24
1586038142,27173,2291,24
1586119923,27173,2367,34
1586179742,29480,2367,34
1586201882,29480,2722,39
1586210703,31654,2722,39
1586291162,31654,3037,53
1586299082,33820,3037,53
1586374562,33820,3327,58
1586380922,38282,3327,58
1586460362,38282,3539,77
1586477392,40480,3539,77
1586548442,40480,3799,96
1586554262,42947,3799,96
1586633282,42947,4024,109
1586641502,45064,4024,109
1586719681,45064,4160,110
1586805134,45064,4388,114
1586813419,47680,4388,114
1586891776,47680,4686,133
1586899922,48803,4686,133
1586978702,48803,4895,147
1586992563,50432,4895,147
1587067022,50432,5111,152
1587080222,51545,5111,152
1587154060,51545,5283,165
1587161583,53525,5283,165
1587242043,53525,5517,175
1587321902,53525,5667,176
1587342182,55873,5667,176
1587414132,55873,5807,177
1587436157,56986,5807,177
1587501902,56986,5941,189
1587571827,57960,5941,189
1587587960,57960,6137,208
1587594782,59266,6137,208
1587676253,59266,6321,218
1587742922,64903,6321,218
1587761103,64903,6625,262
1587765483,67017,6625,262
1587842567,67017,6826,273
1587860522,69748,6826,273
1587946721,70932,6997,274
1588014902,70932,6997,288
1588018142,70932,7171,288
1588028316,73371,7171,288
1588106308,73371,7303,314
1588179723,77037,7303,314
1588204623,77037,7425,318
1588283882,80687,7562,329
1588287362,82152,7562,329
1588372862,82152,7835,337
1588449782,82152,8154,351
1588548783,91083,8386,352
1588625463,91083,8754,358
1588634222,94904,8754,358
1588715179,100747,8916,377
1588802043,100747,9102,396
1588815482,103622,9102,396
1588883463,103622,9341,417
1588891082,108721,9341,417
1588979282,108721,9489,449
1589078462,108721,9666,472
1589122142,115546,9666,472
1589147222,115546,9844,482
1589223723,115546,9918,488
1589246342,121296,9918,488
1589312822,121296,10006,524
1589328642,124006,10006,524
1589399942,124006,10142,542
1589420702,126935,10142,542
1589489402,126935,10317,562
1589557143,134458,10317,562
1589598483,134458,10456,576
1589598878,139340,10456,576
1589660762,139340,10675,589
1589737323,146255,10675,589
1589747643,146255,10789,594
1589810162,151338,10789,594
1589831762,151338,10945,605
1589848383,154110,10945,605
1589925869,154110,11080,616
1589926423,158296,11080,616
1590122437,172946,11340,661
1590220143,172946,11558,671
1590290743,172946,11752,676
1590371050,172946,11988,681
