seconds_since_Epoch,tested,positive,deaths
1583651326,,0,
1583804881,14,0,
1583896735,20,0,
1583951429,32,0,
1583981097,32,1,
1584055830,42,1,
1584137412,90,4,
1584148400,90,6,
1584295521,90,10,
1584396920,289,12,
1584475630,389,21,
1584563350,513,34,
1584631341,513,50,0
1584661658,602,50,1
1584727343,775,80,1
1584804875,775,140,1
1584890168,775,207,1
1584894599,1321,207,1
1584982168,1392,249,1
1585067114,1872,320,1
1585152300,1943,377,2
1585175447,1943,377,3
1585184300,1943,377,5
1585243622,2776,485,5
1585245769,2776,485,6
1585323729,2776,579,8
1585414054,2776,663,13
1585495776,2776,758,14
1585582196,2776,847,16
1585668284,2776,937,20
1585755463,2776,1073,22
1585842253,2776,1177,26
1585933263,2776,1358,29
1586015943,2776,1455,35
1586106182,2776,1638,43
1586125982,6184,1638,43
1586190242,6309,1738,51
1586273822,6568,1915,59
1586314922,20370,1915,59
1586358362,20370,2003,67
1586449142,20370,2260,76
1586533803,20370,2469,82
1586621042,20370,2642,93
1586706722,20370,2781,96
1586794802,20370,2942,98
1586824503,37733,2942,98
1586878503,37733,3087,111
1586963762,37733,3360,122
1587052202,37733,3624,129
1587150062,37733,3793,140
1587228842,37733,3974,152
1587321902,37733,4274,159
1587328097,50272,4274,159
1587405602,51434,4512,169
1587486302,52364,4716,183
1587587960,53835,4894,193
1587661123,53835,5153,201
1587742922,55389,5434,209
1587832022,58957,5718,221
1587925502,60788,5911,227
1588006862,60788,6094,229
1588049762,63462,6094,229
1588093322,63462,6342,239
1588179723,66094,6569,250
1588267502,66094,6815,261
1588353362,66094,7212,281
1588445522,74475,7441,291
1588548783,74475,7550,303
1588625463,79677,7877,310
1588698294,79677,8207,342
1588802043,79677,8424,374
1588871582,79677,8686,396
1588957562,79677,9090,409
1589047202,79677,9378,421
1589128022,79677,9501,430
1589223723,79677,9674,435
1589252942,95885,9674,435
1589301242,95885,9908,457
1589387283,95885,10090,465
1589432357,100048,10090,465
1589477762,105326,10483,480
1589562722,106823,10801,493
1589648342,108476,11123,510
1589737323,113126,11296,521
1589818982,115767,11432,528
1589925869,117760,11704,554
1589993582,120680,11967,570
1590079262,125970,12222,580
1590176522,137973,12624,596
1590270482,143033,13005,616
1590348543,146959,13252,625
1590435122,150698,13458,635
