seconds_since_Epoch,tested,positive,deaths
1583651326,,0,
1583790458,5,0,0
1583880060,8,0,0
1583940693,13,0,0
1583981097,27,1,0
1584055830,41,1,0
1584137412,63,1,0
1584214605,69,1,0
1584225605,87,1,0
1584243426,93,1,0
1584286826,100,1,0
1584333620,112,1,0
1584396920,124,1,0
1584412310,149,1,0
1584475630,223,3,0
1584498947,253,5,0
1584563350,274,6,0
1584598356,362,7,0
1584804875,1169,28,0
1584832449,1182,28,0
1584890168,1288,28,0
1584921301,1355,30,0
1585062732,1440,32,0
1585077155,1488,34,0
1585184300,1955,45,0
1585251221,2091,52,0
1585257049,2261,58,0
1585334649,2492,65,0
1585346092,2708,68,1
1585414054,2892,83,1
1585440399,3107,94,1
1585512536,3453,98,1
1585524040,3724,98,1
1585591374,3837,109,2
1585605816,3909,109,3
1585678676,4181,122,3
1585707860,4257,126,3
1585763093,4493,142,3
1585801221,4627,147,3
1585853342,4980,159,3
1585952762,5798,173,3
1586017983,6207,186,3
1586106602,6787,207,3
1586204522,7213,225,3
1586277842,7703,237,4
1586374022,8552,251,4
1586463302,8990,269,5
1586554262,9608,278,6
1586636267,10080,293,7
1586731167,10350,308,8
1586818427,10781,331,8
1586908502,10916,341,9
1586986965,11317,365,9
1587081132,11704,393,9
1587167222,12342,439,9
1587257702,12963,528,9
1587322591,13630,585,10
1587436157,14747,627,13
1587504827,14987,644,13
1587598379,15589,679,14
1587687036,16330,709,15
1587765483,17449,748,15
1587858656,19350,803,16
1587956538,20447,867,17
1588050529,22434,942,19
1588117925,23723,991,19
1588205554,25536,1033,19
1588293736,27460,1067,19
1588390979,29525,1107,23
1588466696,31547,1153,24
1588548783,33353,1191,25
1588610103,34754,1225,25
1588695542,36421,1266,25
1588791962,38632,1323,31
1588871582,40867,1371,31
1588962543,42501,1425,33
1589047202,43933,1464,35
1589128022,44869,1491,35
1589223723,47014,1518,36
1589301242,47832,1571,38
1589387283,48945,1647,40
1589477762,50311,1712,40
1589562722,51715,1761,42
1589648342,53487,1848,42
1589737323,55221,1900,43
1589854803,56561,1931,44
1589926423,57731,1994,45
1589993582,59200,2095,49
1590116371,61279,2229,51
1590220143,62830,2317,52
1590270482,64148,2365,52
