seconds_since_Epoch,tested,positive,deaths
1583651326,23,1,
1583713441,50,3,
1583880060,66,3,
1583936067,68,5,
1584029116,73,10,
1584055830,123,10,
1584076983,124,11,
1584137412,126,13,
1584161186,127,14,
1584243426,130,17,
1584306715,187,17,
1584333620,188,18,
1584475630,227,21,
1584515664,230,24,
1584598356,267,27,
1584683488,272,32,
1584804875,394,38,
1584890168,398,42,
1584982168,406,50,
1585015867,1027,52,
1585092445,1027,61,
1585175447,1027,64,
1585243622,1027,68,
1585251221,1027,73,
1585282623,1027,81,
1585363508,1903,89,2
1585420273,2006,96,2
1585438466,2080,108,2
1585524040,2345,120,2
1585590026,2734,145,2
1585611141,2882,153,2
1585678676,3111,172,3
1585697070,3209,177,3
1585760790,3693,210,4
1585783485,3812,214,4
1585847582,4235,246,5
1585875782,4560,255,5
1585893903,4560,255,6
1585934162,4777,279,6
1585959062,4875,285,6
1586031902,5389,321,6
1586039222,5389,321,8
1586043602,5472,323,8
1586106182,5933,363,8
1586129643,6018,367,8
1586191803,6796,409,8
1586214302,6883,412,8
1586232542,6883,412,9
1586276882,6883,412,10
1586282823,7269,447,10
1586305622,7453,478,10
1586313962,7453,478,12
1586368682,7978,519,12
1586388243,8067,523,14
1586450942,8704,567,14
1586477392,8852,577,15
1586539382,9375,635,15
1586562237,9474,648,17
1586625362,10007,700,17
1586647152,10197,704,17
1586713623,10710,791,17
1586738402,10991,814,17
1586819462,11384,871,17
1586822057,11384,871,18
1586908814,11757,901,20
1587007654,12324,952,21
1587081132,13173,1066,24
1587167222,13753,1138,24
1587341882,15756,1474,28
1587436157,16478,1648,33
1587512056,16782,1713,33
1587598379,17394,1813,42
1587620756,17394,1813,45
1587687036,17394,2124,47
1587765483,18701,2124,47
1587774982,20112,2421,50
1587860522,21377,2732,53
1587954002,22525,3028,56
1588049762,23772,3358,56
1588117925,23798,3374,56
1588205554,25498,3784,68
1588292582,27577,4281,70
1588376822,29364,4787,73
1588386963,29557,4838,73
1588465622,31332,5326,76
1588548783,32798,5659,78
1588607463,33819,5910,78
1588642683,34675,6083,79
1588719183,36194,6438,81
1588725243,36194,6438,82
1588815482,37829,6771,86
1588896482,40482,7190,90
1588994583,43046,7831,92
1589078462,45644,8234,96
1589158202,46314,8315,98
1589246342,48019,8572,100
1589328642,48019,8572,103
1589420702,48019,8572,107
1589497202,48019,8572,113
1589598483,48019,8572,119
1589608562,60092,9772,119
1589673542,65774,10220,123
1589758213,67649,10348,123
1589848383,70147,10625,125
1589940049,72333,10846,132
1590027603,75864,11122,138
1590116371,78654,11425,143
1590220143,80475,11662,147
1590290743,83485,11989,147
1590369890,86027,12134,150
1590458282,88350,12355,150
