seconds_since_Epoch,tested,positive,deaths
1583651326,25,2,
1583700173,47,4,
1583790458,56,4,
1583880060,68,5,
1583951429,90,5,
1584055830,121,6,
1584214605,132,7,
1584225605,250,7,
1584295521,379,13,
1584396920,567,17,
1584498947,747,26,
1584598356,891,39,
1584661658,1420,44,
1584750868,1970,55,
1584832449,2212,65,
1584921301,2341,78,
1585004414,2417,101,
1585100787,3268,108,1
1585175447,3850,137,1
1585323729,4145,158,1
1585349795,4139,187,2
1585438466,4738,214,2
1585524040,5252,258,3
1585615607,5727,314,3
1585697070,6030,367,3
1585790485,6493,415,4
1585868342,7054,479,5
1585959062,7505,540,7
1586045942,8032,621,9
1586127842,8370,669,9
1586212442,8734,715,9
1586305863,9136,747,13
1586385842,9551,788,18
1586477392,9958,819,21
1586562237,10493,885,22
1586647152,10925,929,23
1586734314,11207,985,23
1586822057,11610,1020,23
1586907782,11847,1091,27
1586985047,12166,1139,32
1587080222,12632,1211,34
1587161583,12852,1287,37
1587252663,13424,1342,38
1587342182,14118,1392,41
1587436157,14295,1447,42
1587511802,15041,1491,42
1587598379,16012,1588,48
1587681960,16809,1670,51
1587765483,17727,1720,53
1587858656,18751,1787,60
1587954002,19724,1864,60
1588049762,20145,1938,60
1588117925,20746,2010,60
1588205554,21921,2054,66
1588292582,22049,2146,72
1588388223,24349,2310,81
1588465622,28393,2429,84
1588548783,30836,2518,86
1588642683,30836,2588,86
1588729982,30836,2636,92
1588815482,30836,2740,111
1588896482,30836,2843,114
1588994583,32298,2947,121
1589078462,33453,3011,131
1589158202,34794,3071,133
1589246342,35561,3160,133
1589328642,37216,3239,142
1589420702,39175,3299,150
1589518300,42530,3382,151
1589598878,42612,3464,159
1589669403,42704,3556,171
1589767443,42744,3596,172
1589848383,42800,3652,172
1589940049,42869,3721,182
1590027603,42869,3721,190
1590074702,43016,3868,190
1590116371,43083,3935,199
1590220143,57798,4014,204
1590270782,57798,4089,208
