seconds_since_Epoch,tested,positive,deaths
1583651326,29,4,
1583700173,37,6,
1583790458,59,10,
1583804881,60,11,
1583880060,79,15,
1583951429,100,23,
1583981097,100,23,1
1584055830,123,29,1
1584137412,204,50,1
1584214605,218,69,1
1584306715,252,98,2
1584396920,252,178,2
1584412310,318,178,2
1584475630,430,267,3
1584563350,617,427,5
1584631341,952,742,5
1584641940,952,742,9
1584729642,1154,890,11
1584750868,1240,890,11
1584814995,1661,1327,16
1584907292,2290,1914,20
1584982168,3297,2844,27
1585077155,4148,3675,44
1585169789,14854,4402,62
1585245769,20537,6876,81
1585334649,25372,8825,108
1585415582,30510,11124,140
1585506689,35602,13386,161
1585595271,41860,16636,198
1585678676,45773,18696,267
1585760790,52642,22255,355
1585848302,59110,25590,537
1585934162,67503,29895,646
1586031902,75356,34124,846
1586107263,82166,37505,917
1586201882,89032,41090,1003
1586279343,94974,44416,1232
1586368682,100416,47437,1504
1586457242,107192,51027,1700
1586533803,113523,54588,1932
1586625362,120193,58151,2183
1586713908,126735,61850,2350
1586805973,126735,64584,2443
1586885015,139774,68824,2805
1586971563,144021,71030,3156
1587062999,151830,75317,3518
1587144302,157449,78467,3840
1587242043,162536,81420,4070
1587314942,170688,85301,4202
1587414132,178057,88806,4377
1587501902,184826,92387,4753
1587587960,191659,95865,5063
1587667681,200148,99989,5368
1587761103,205962,102196,5617
1587842567,213686,105523,5863
1587925502,223144,109038,5938
1588006862,227775,111188,6044
1588097822,234359,113856,6442
1588182062,241318,116264,6770
1588283882,247918,118652,7228
1588353362,256545,121190,7538
1588445522,262312,123717,7742
1588527024,275066,126744,7871
1588610103,277220,128269,7910
1588715179,287623,130593,8244
1588791962,287623,131890,8549
1588883463,292658,133635,8801
1588962543,298759,135454,8952
1589047202,305206,137085,9116
1589128022,312447,138532,9255
1589252080,425933,139945,9310
1589329143,433060,140743,9508
1589423822,441450,141560,9702
1589489402,451696,142704,9946
1589562722,462972,143905,10138
1589660762,475224,145089,10249
1589757722,487565,146334,10356
1589861223,505569,148039,10435
1589926423,520182,149013,10586
1589998202,531343,150399,10747
1590122437,544274,151472,10843
1590220143,555314,152719,10985
1590270482,578735,153104,11081
