seconds_since_Epoch,tested,positive,deaths
1583651326,14,0,
1583790458,19,3,
1583880061,32,3,
1583951429,49,4,
1584055830,87,5,
1584137412,222,13,
1584214605,375,26,
1584306715,538,37,
1584396920,538,50,
1584475630,538,67,
1584563350,538,88,
1584641940,538,119,
1584729642,538,169,
1584750869,538,169,1
1584814995,538,247,1
1584832449,538,247,3
1584907292,538,351,3
1584988373,582,442,6
1585077155,704,564,8
1585169789,844,704,10
1585251221,1007,867,15
1585334649,1277,1137,19
1585420273,1546,1406,25
1585506689,1793,1653,29
1585595271,2073,1933,39
1585611141,27275,1933,39
1585678676,27275,2199,55
1585764986,27275,2547,65
1585853342,27275,2902,81
1585942033,27275,3312,91
1586031902,27275,3739,102
1586111042,27275,4043,119
1586196603,27275,4450,142
1586282823,27275,4782,167
1586370003,27275,5148,193
1586460362,27275,5148,213
1586463423,27275,5512,213
1586543273,27275,5836,213
1586555254,27275,5836,231
1586631335,27275,6187,247
1586715247,27275,6518,253
1586731737,63243,6518,253
1586804141,65112,6975,274
1586891102,65112,7153,324
1586896802,67874,7153,324
1586975147,71552,7791,361
1587062999,71552,8239,389
1587081132,74840,8239,389
1587150062,74840,8858,418
1587167222,77677,8858,418
1587242043,83131,10222,451
1587321902,86989,11292,471
1587409979,86989,12516,509
1587436157,90839,12516,509
1587501902,94239,13250,557
1587587960,97998,13609,610
1587667681,97998,14142,656
1587687036,102325,14142,656
1587761103,102325,14581,690
1587765483,107109,14581,690
1587842567,111379,14983,711
1587927843,115783,15360,728
1588014902,119391,15699,753
1588106308,122706,16128,799
1588204623,122706,16601,937
1588205554,128206,16601,937
1588270982,133148,17285,975
1588372862,133148,17962,1002
1588390979,139725,17962,1002
1588445522,139725,18537,1021
1588466696,145021,18537,1021
1588530002,145021,19094,1038
1588566059,149346,19094,1038
1588622342,149346,19609,1056
1588644422,154290,19609,1056
1588715179,154290,20072,1135
1588730797,159838,20072,1135
1588791962,159838,20625,1225
1588826613,167978,20625,1225
1588883463,167978,21132,1271
1588897197,175060,21132,1271
1588969442,175060,21969,1306
1588995062,183269,21969,1306
1589078462,183269,22560,1331
1589147222,183269,22891,1341
1589173661,203672,22891,1341
1589223723,203672,23400,1357
1589251902,209153,23400,1357
1589252582,209153,24777,1357
1589312822,209153,25250,1436
1589328642,216290,25250,1436
1589395442,216290,25721,1483
1589423598,224378,25721,1483
1589489402,224378,26357,1534
1589518300,231795,26357,1534
1589598483,231795,26954,1581
1589607538,244577,26954,1581
1589659862,244577,27474,1610
1589747643,244577,27923,1625
1589772705,262759,27923,1625
1589828523,262759,28454,1657
1589855073,270041,28454,1657
1589925869,270041,28952,1720
1589940445,277602,28952,1720
1590006183,277602,29436,1781
1590028013,287609,29436,1781
1590116371,287609,30167,1836
1590176522,287609,30794,1872
1590270782,287609,31408,1956
1590348543,287609,31911,1969
1590435122,287609,32477,1987
