seconds_since_Epoch,tested,positive,deaths
1583651326,9,1,
1583880061,28,2,
1584055830,43,3,
1584137412,76,3,
1584161186,77,4,
1584286826,137,7,
1584333620,138,8,
1584396920,213,10,
1584475630,348,19,
1584563350,519,31,
1584641940,762,46,
1584661658,762,46,1
1584727343,963,51,1
1584814995,963,55,1
1584894599,963,69,2
1584982168,963,83,2
1585077155,963,108,3
1585158458,971,166,5
1585243622,1208,250,7
1585326353,1408,324,8
1585414054,1559,379,15
1585505264,1636,431,16
1585588433,1690,483,17
1585671592,1796,567,23
1585760279,1969,721,30
1585845723,2146,881,34
1585933263,2305,990,38
1586017983,2523,1161,42
1586106182,2655,1254,46
1586190842,2751,1329,51
1586279343,2910,1474,67
1586362443,3005,1526,79
1586451902,3205,1686,80
1586536382,3315,1796,88
1586621578,3387,1868,94
1586621702,22511,1868,94
1586622003,22658,1868,94
1586708299,22760,1970,96
1586795582,22760,1970,99
1586822542,22859,2069,99
1586883721,28225,2069,108
1586911082,28269,2184,108
1586967662,29140,2184,123
1587055802,30795,2184,123
1587071102,30899,2357,123
1587071162,30899,2357,131
1587167551,35561,2465,136
1587341882,35561,2599,140
1587436157,35561,2680,143
1587504827,35561,2807,164
1587525589,46122,2807,164
1587598379,47984,2894,170
1587687036,47984,3017,179
1587775262,47984,3121,188
1587858656,47984,3193,194
1587956538,47984,3253,195
1588050529,47984,3280,197
1588117925,47984,3410,207
1588205554,47984,3473,214
1588293736,47984,3618,222
1588294438,63779,3618,222
1588390979,66866,3748,230
1588466696,70368,3851,238
1588566059,70368,3972,238
1588644422,79892,4044,238
1588730797,79892,4127,247
1588826613,87459,4201,253
1588897197,89857,4330,260
1588995062,95869,4424,266
1589173661,95869,4589,272
1589223723,95869,4613,274
1589251902,106559,4613,274
1589328642,109859,4732,278
1589387283,109859,4852,278
1589462402,112647,4852,278
1589477762,112647,4962,284
1589497202,118751,4962,284
1589562722,118751,5086,285
1589647202,123954,5086,285
1589648342,123954,5237,288
1589737323,123954,5310,288
1589818982,123954,5398,288
1589848383,140262,5398,288
1589925869,140262,5489,294
1589940049,145218,5489,294
1589994003,145218,5532,299
1590027603,149447,5532,299
1590079262,149447,5680,304
1590116371,152998,5680,304
1590176522,152998,5849,307
1590220143,160903,5849,307
1590270482,160903,5960,311
