seconds_since_Epoch,tested,positive,deaths
1585545354,1785,127,5
1585576085,1899,174,6
1585660495,2289,239,8
1585747613,2594,286,11
1585834570,3041,316,12
1585921203,3486,378,15
1586015943,4190,452,18
1586106182,4591,475,20
1586179742,4951,513,21
1586266623,5513,573,23
1586352722,6052,620,24
1586440203,6696,683,33
1586525763,7244,725,39
1586617982,7709,788,42
1586706722,7973,897,44
1586786222,8157,903,45
1586878503,8535,923,45
1586960583,9209,974,51
1587044163,9829,1043,56
1587130802,10410,1068,58
1587225243,10933,1118,60
1587314942,11332,1213,62
1587394562,11633,1252,63
1588050722,11633,1389,84
1588118752,11633,1389,86
1588293736,11633,1389,92
1588644422,11633,1389,94
1588730797,11633,1924,99
1588826613,11633,1968,99
1588897197,11633,2031,102
1589173661,11633,2198,111
1589251902,11633,2256,113
1589328642,11633,2299,114
1589423598,11633,2329,115
1589518300,11633,2427,117
1589607538,11633,2542,122
1589651282,11633,2589,122
1589747643,11633,2646,123
1589810162,11633,2710,124
1589925869,11633,2805,124
1589994003,11633,2866,125
1590074702,11633,2913,126
1590176522,11633,3030,126
1590270482,11633,3100,127
1590348543,11633,3189,127
1590427082,11633,3260,129
