seconds_since_Epoch,tested,positive,deaths
1583651326,,,
1583823426,31,7,
1583880061,41,9,
1583981097,58,10,
1584055830,87,12,
1584137412,123,13,
1584225606,173,19,
1584306715,263,28,
1584396921,344,33,
1584412310,344,33,1
1584498947,456,47,1
1584598356,643,60,1
1584661658,914,81,1
1584750869,1380,125,1
1584823540,1639,173,1
1584832449,1639,173,3
1584910163,1661,195,3
1584992546,1661,195,5
1585004414,2207,195,5
1585015867,2310,298,5
1585084902,2470,342,5
1585102036,2470,342,7
1585169789,2727,424,7
1585243622,2727,424,8
1585259867,2731,424,8
1585267264,2763,456,9
1585344829,2947,539,13
1585426676,3068,660,15
1585431799,3675,660,15
1585511978,4247,660,15
1585512536,4361,774,16
1585599246,5085,925,18
1585688590,5699,1083,22
1585776709,6326,1293,26
1585858803,6734,1293,26
1585860363,6995,1554,31
1585950542,7477,1700,34
1586017142,18097,1700,34
1586031902,18314,1917,40
1586119923,18976,2049,44
1586210703,21384,2232,48
1586291162,23680,2417,51
1586374562,23815,2552,63
1586377322,24634,2552,63
1586463302,24874,2792,67
1586469902,26296,2792,67
1586549702,28183,3065,72
1586635202,29951,3065,72
1586635682,30093,3207,80
1586723426,31425,3319,82
1586813419,31545,3439,87
1586815519,32764,3439,87
1586894576,33872,3553,97
1586978702,34630,3553,97
1586978755,34630,3553,107
1586992563,34733,3656,107
1587071976,36009,3656,109
1587081132,36284,3931,109
1587161583,37485,3931,109
1587167222,37640,4086,116
1587242043,38673,4086,116
1587252663,38833,4246,119
1587328097,40480,4377,120
1587436157,41277,4439,124
1587503431,42441,4608,135
1587594782,42958,4608,135
1587598379,43111,4761,140
1587676254,44463,4917,150
1587765483,46996,5070,157
1587849295,49014,5253,166
1587946721,50524,5253,166
1587955787,50761,5490,174
1588028316,52145,5613,177
1588117925,53115,5735,192
1588204623,54217,5881,203
1588205554,54217,5881,232
1588283882,56298,5881,232
1588293736,56512,6095,244
1588376822,59379,6258,256
1588449782,61616,6489,267
1588548783,64051,6489,267
1588562642,64188,6626,275
1588634222,67640,6626,275
1588653302,67771,6757,283
1588719183,68766,6841,296
1588802043,77482,6936,305
1588891082,77482,7142,316
1588979282,78065,7142,316
1588995062,78290,7367,320
1589078462,80963,7531,330
1589158202,84457,7653,331
1589246342,89829,7653,331
1589247902,89968,7792,346
1589328642,93140,7927,355
1589420702,95866,8030,362
1589489402,102376,8030,362
1589518300,102535,8189,371
1589598483,109398,8189,371
1589599196,109616,8407,380
1589669403,120077,8407,380
1589747643,120331,8661,380
1589758213,127802,8816,385
1589848383,131433,8816,385
1589926423,134823,8816,385
1589940049,135063,9056,399
1590027603,138119,9056,399
1590122437,138442,9379,416
1590176522,144547,9379,416
1590220143,150023,9638,419
1590270782,158653,9638,419
