seconds_since_Epoch,tested,positive,deaths
1583651326,5,0,
1583790458,11,0,
1583880061,20,5,
1583981097,46,8,
1584137412,93,9,
1584204870,194,9,
1584295521,342,9,
1584396921,504,10,
1584475630,597,11,
1584563350,912,11,1
1584641940,947,11,1
1584661658,947,14,1
1584814996,973,14,1
1584907292,1038,21,1
1584982168,1055,28,1
1585077155,1088,30,1
1585158458,1128,41,1
1585245769,2144,46,1
1585327450,2465,58,1
1585414054,2660,68,1
1585500291,3217,90,1
1585588836,3579,101,1
1585678676,3717,108,1
1585760280,4032,129,2
1585845723,4382,165,2
1585933263,4780,187,2
1586017983,5224,212,2
1586106182,5593,240,2
1586190842,6020,288,2
1586205302,6020,288,4
1586278322,6268,320,4
1586298422,6268,320,6
1586317262,6270,320,6
1586368682,6748,393,6
1586450942,7147,447,6
1586536382,7647,536,6
1586625362,8006,626,6
1586710522,8553,730,6
1586795582,9002,868,6
1586883721,9296,988,6
1586971563,9859,1168,6
1587055802,10552,1311,7
1587142443,11062,1411,7
1587228842,11661,1542,7
1587314942,12062,1635,7
1587405602,12326,1685,7
1587503880,12815,1755,8
1587598379,13446,1858,9
1587688742,13544,1956,9
1587775503,14824,2040,10
1587956642,16274,2212,11
1588050529,16375,2245,11
1588117925,16612,2313,11
1588205554,16833,2373,13
1588293736,17028,2449,17
1588390979,17363,2525,21
1588466696,18091,2588,21
1588566059,18374,2588,21
1588644423,18713,2668,21
1588730797,19022,2721,24
1588826613,19416,2779,29
1588897197,20114,2905,31
1588995062,21293,3144,31
1589173661,23894,3517,34
1589251902,24578,3614,34
1589328642,25197,3663,39
1589423598,25844,3732,39
1589518300,26473,3792,43
1589607538,27319,3792,44
1589651282,28176,3959,44
1589747643,28559,3987,44
1589818983,29045,4027,44
1590122437,31301,4250,48
1590220143,32344,4356,50
1590290743,33528,4468,50
