seconds_since_Epoch,tested,positive,deaths
1583651326,,,
1583713441,,3,
1583823426,,4,
1583880061,,7,
1583909676,7,7,
1583940693,57,7,
1583981097,70,9,
1584055830,97,18,
1584137412,142,26,
1584214605,162,32,
1584306715,196,39,
1584396921,322,52,
1584475630,403,73,
1584563350,443,98,
1584661658,618,154,
1584734752,791,228,
1584820938,1013,371,
1584907292,1353,505,
1584999109,1526,615,
1585077155,12099,667,
1585102036,12099,667,2
1585169789,11796,784,3
1585251221,14909,957,3
1585339080,16091,1203,6
1585424731,18338,1373,6
1585511978,20574,1537,7
1585595874,23304,1834,13
1585683582,27360,2239,23
1585776709,32452,2683,24
1585858082,34611,2845,32
1585942033,37839,3067,37
1586031902,41391,3321,43
1586119923,45300,3633,44
1586201882,47350,3802,65
1586290502,52874,4138,72
1586374022,56618,4362,79
1586460962,59849,4634,94
1586563142,62799,4862,98
1586635682,66828,5114,101
1586731167,70747,5308,101
1586818427,76195,5610,109
1586908502,78831,5823,124
1586986965,80896,6079,135
1587081132,85049,6262,141
1587167222,87273,6589,142
1587257702,90586,6762,145
1587341882,97098,7070,148
1587436157,100689,7238,152
1587504827,108182,7394,157
1587598379,114980,7842,166
1587687036,123100,8266,170
1587775678,131298,8726,170
1587858656,141406,9189,178
1587956538,147474,9667,181
1588050529,154402,9918,184
1588117925,161926,10052,188
1588205554,168549,10366,195
1588293736,177626,10735,199
1588390979,186132,11891,204
1588466696,196276,12661,209
1588566059,204607,13177,210
1588644423,211443,13571,219
1588715179,211443,13690,226
1588802043,227101,13938,239
1588979282,243578,13938,241
1589078462,243578,14768,242
1589147222,243578,14768,243
1589241602,273277,15544,251
1589312822,273277,16111,265
1589399942,273277,16111,273
1589432157,292917,16370,273
1589489402,302317,16699,287
1589598483,309756,16699,290
1589660762,309756,17288,295
1589747643,309756,17388,298
1589831762,337428,17388,298
1589925870,346123,18378,305
1590006183,346123,18532,309
1590116371,360583,18532,313
1590180182,360583,18532,315
1590270782,373758,19789,315
1590348543,383576,20145,336
1590435122,396219,20607,338
