seconds_since_Epoch,tested,positive,deaths
1583651326,,1,
1583855685,,2,
1583909676,2,2,
1583981098,3,3,
1584055830,5,5,
1584137412,6,6,
1584204870,9,9,
1584243426,10,10,
1584255109,19,19,
1584306715,28,28,
1584396921,39,39,
1584475630,51,51,
1584563351,63,63,
1584631342,1222,63,0
1584661658,1526,78,0
1584727343,2147,112,0
1584814996,2560,136,0
1584907292,3689,181,1
1584992546,5048,257,1
1585077155,5823,298,1
1585169789,6837,346,1
1585251221,7710,402,1
1585334649,9244,480,2
1585420273,11312,602,2
1585506689,13993,719,2
1585595874,16003,806,4
1585682510,18513,887,5
1585766950,20155,1012,7
1585858082,21065,1074,7
1585942033,24248,1246,7
1586031902,28043,1428,8
1586111042,30892,1605,8
1586201882,33394,1675,13
1586286842,34647,1738,13
1586401143,36116,1846,13
1586463363,38373,1976,13
1586562237,40762,2102,17
1586642192,42546,2206,18
1586730843,44234,2303,18
1586818862,45787,2363,18
1586908814,46476,2412,19
1586986965,47614,2542,20
1587081132,49678,2683,21
1587167222,55771,2805,23
1587257702,59944,2931,25
1587341882,63555,3069,27
1587436157,68311,3213,28
1587504827,72358,3296,32
1587598379,76460,3445,34
1587687036,80627,3612,35
1587765483,84697,3782,39
1587842567,90206,3948,41
1587927843,95702,4123,41
1588014902,100195,4233,41
1588106308,102439,4343,45
1588204623,105778,4495,45
1588283882,108501,4672,46
1588372862,112558,4828,46
1588445522,117804,4981,49
1588548783,122102,5175,50
1588625463,124661,5317,50
1588715179,126715,5449,56
1588802043,131002,5595,58
1588883463,134543,5724,61
1588979282,138688,5919,61
1589047202,143294,6103,66
1589139602,146510,6251,67
1589241602,150585,6362,68
1589312822,153485,6432,73
1589399942,156786,6620,75
1589477762,160119,6749,75
1589598483,163218,6913,77
1589660762,166774,7068,78
1589747643,170752,7238,80
1589831882,174022,7384,80
1589940049,177311,7518,88
1590027603,179664,7710,90
1590116371,182874,7874,92
1590180182,186834,8057,93
1590271142,190779,8260,97
