seconds_since_Epoch,tested,positive,deaths
1583651326,29,1,
1583790458,35,1,
1583880061,41,1,
1583951429,63,1,
1584055830,99,2,
1584137412,144,2,
1584208421,231,4,
1584306715,352,4,
1584396921,433,12,
1584475630,505,10,
1584515664,512,17,
1584563351,611,19,
1584641940,667,22,
1584729642,808,29,
1584832449,978,49,2
1584907292,1158,52,2
1584988373,1173,75,5
1585077155,1535,95,7
1585158458,1712,123,8
1585245769,2008,158,9
1585330099,2261,184,10
1585415582,2374,211,12
1585499554,3701,235,12
1585588433,3930,256,12
1585678676,4250,293,13
1585760280,4495,321,16
1585843611,4711,338,17
1585935363,5228,389,17
1586031902,5844,461,20
1586106182,6582,512,22
1586193363,6633,543,23
1586298602,7129,575,23
1586401082,7749,605,23
1586470623,7749,628,23
1586492522,8181,628,23
1586562237,8657,679,24
1586655602,8657,711,25
1586740563,8705,727,27
1586818427,10365,748,28
1586908502,10585,752,29
1586986965,11081,759,30
1587081132,11507,768,35
1587167222,12116,779,35
1587341882,12116,812,37
1587436157,12981,816,38
1587504827,13111,818,40
1587620497,13111,823,40
1587687036,13852,825,43
1587775503,14310,827,44
1587858656,14310,843,46
1587956538,14310,851,46
1588050529,15073,855,47
1588117925,15215,862,47
1588205554,15429,862,47
1588293736,15652,866,49
1588390979,16233,879,50
1588466696,16233,886,51
1588566059,16233,897,52
1588644423,17332,902,52
1588730797,17518,907,52
1588826613,17876,908,52
1588897197,18451,916,53
1588995062,19008,919,53
1589173661,19008,927,53
1589251902,20871,927,53
1589328642,21262,927,53
1589423598,21676,927,53
1589518300,22505,932,53
1589607538,23205,933,53
1589772705,23205,940,54
1589855073,23825,940,54
1589926754,24591,944,54
1590028013,25058,944,54
1590122437,25701,950,54
1590220143,25733,952,54
1590290743,25733,954,54
1590371050,25733,956,54
