seconds_since_Epoch,tested,positive,deaths
1583651326,,102,16
1583713441,1246,136,18
1583790458,1311,162,21
1583804881,1311,162,22
1583880061,2442,267,24
1583981098,3403,366,29
1584063709,4807,457,31
1584137412,6569,568,37
1584225606,7764,642,40
1584333620,10220,769,42
1584412311,12486,904,48
1584498947,14129,1012,52
1584598356,17105,1187,66
1584661658,20712,1376,74
1584750869,23243,1524,83
1584832449,27121,1793,94
1584921301,30875,1996,95
1585004414,33933,2221,110
1585100787,34181,2469,123
1585191176,34292,2580,132
1585267264,46380,3207,147
1585349795,52715,3700,175
1585363508,52738,3723,175
1585436092,59196,4300,175
1585437939,59196,4300,189
1585440114,59206,4310,189
1585543328,65462,4896,195
1585791054,74798,5984,247
1585874102,79418,6585,262
1585957082,82599,6966,284
1586043602,87918,7591,310
1586131322,91375,7984,338
1586224563,91775,8384,372
1586301722,92073,8682,394
1586385842,92488,9097,421
1586485579,92999,9608,446
1586569772,93278,9887,475
1586648162,93615,10224,491
1586738971,93802,10411,508
1586832182,93929,10538,516
1586921672,122854,10694,541
1587001202,124283,10783,567
1587090648,128900,11152,583
1587174970,131627,11445,603
1587257702,131984,11802,624
1587342423,138654,11802,634
1587436157,141011,12085,652
1587511803,145031,12282,682
1587620282,147953,12494,692
1587688652,153376,12753,711
1587832022,160324,12977,723
1587860522,170594,13319,738
1587954002,175477,13521,749
1588049762,179679,13686,765
1588117925,182515,13842,786
1588205554,187800,14070,801
1588292582,193981,14327,814
1588388223,198724,14637,824
1588465622,207315,15003,830
1588653722,216320,15462,841
1588897322,230680,16231,891
1588995062,235835,16388,905
1589078462,242989,16674,921
1589163602,248875,16891,931
1589246342,252108,17122,945
1589328642,256321,17330,962
1589420702,261080,17512,975
1589497202,267931,17773,983
1589598483,273303,17951,992
1589669403,280993,18288,1000
1589758213,285243,18433,1001
1589854803,289135,18611,1002
1589940049,293120,18811,1031
1590074702,297942,18971,1037
1590124502,302927,19117,34
1590124586,302927,19117,1044
1590220143,308358,19265,1050
