seconds_since_Epoch,tested,positive,deaths
1583651326,44,1,
1583804881,44,2,
1583880061,46,2,
1583981098,59,5,
1584055830,92,8,
1584137412,188,19,
1584225606,273,27,
1584306715,346,33,
1584396921,551,47,
1584475630,1110,72,
1584563351,1683,106,
1584661658,2347,155,
1584734752,3661,206,
1584820938,4909,281,
1584832449,4909,281,4
1584907292,6611,381,4
1584992546,7466,416,5
1585077155,8694,457,5
1585169789,10674,585,6
1585251221,12290,707,8
1585339080,13982,842,13
1585425507,16221,989,13
1585511978,17662,1112,13
1585595874,17662,1221,14
1585681707,18726,1351,16
1585766950,20369,1550,24
1585853342,22047,1730,31
1585942033,24289,1912,37
1585944062,24293,1916,37
1586031902,25971,2112,56
1586119923,27436,2267,68
1586201882,29014,2440,77
1586286842,31090,2578,92
1586372523,32871,2756,99
1586460362,34309,2885,111
1586548442,36293,3068,128
1586631335,37893,3213,137
1586717669,39257,3341,144
1586805134,40197,3428,154
1586894576,41552,3555,170
1586978702,43047,3721,182
1587063842,44849,3875,197
1587167551,46410,4045,205
1587257702,48161,4199,211
1587341882,49669,4346,220
1587436157,51102,4499,230
1587504827,51223,4620,242
1587598379,54347,4845,246
1587687036,56508,5052,257
1587775503,59929,5356,262
1587858656,62825,5687,266
1587956538,65146,5911,272
1588050529,67392,6081,281
1588117925,69824,6289,300
1588205554,73150,6520,308
1588293736,76248,6854,316
1588390979,79880,7314,327
1588466696,83230,7660,334
1588566059,85961,7964,339
1588644423,88703,8236,340
1588730797,92533,8566,353
1588826613,96727,8901,362
1588897197,102250,9215,374
1588995062,106855,9590,384
1589173661,115382,10219,400
1589251902,118451,10418,409
1589328642,123359,10611,418
1589423598,128013,10902,421
1589518300,133873,11275,434
1589607538,140342,11685,445
1589660762,146393,12187,453
1589747643,152217,12543,453
1589831882,157189,12687,459
1589925870,161122,12885,467
1590006183,167713,13413,481
1590116371,177123,13885,487
1590176522,187099,14396,496
1590271142,194206,14877,507
