seconds_since_Epoch,tested,positive,deaths
1583651326,5,0,
1583981098,8,0,
1584055830,12,0,0
1584137412,21,0,0
1584148400,31,0,0
1584243426,39,0,0
1584333620,41,0,0
1584396921,84,0,0
1584498947,137,1,0
1584598356,148,2,0
1584683488,237,5,0
1584727343,239,7,0
1584750869,340,8,0
1584820938,343,11,0
1584832449,397,12,0
1584836272,398,12,0
1584921301,464,16,0
1585015867,630,20,0
1585102036,804,39,0
1585184300,1102,52,0
1585277218,1898,76,0
1585363508,2433,96,0
1585436092,2818,113,0
1585524040,3108,124,1
1585602613,3827,145,1
1585685048,4143,162,1
1585760280,4575,191,1
1585779433,4575,191,2
1585865223,5493,217,2
1585933682,6367,237,2
1586015943,7686,282,2
1586098502,8838,324,3
1586190842,9940,345,3
1586196603,9940,345,4
1586277062,12059,412,4
1586362443,12545,462,4
1586380922,12859,483,4
1586449682,12934,485,4
1586457242,12934,485,5
1586470682,13863,523,5
1586534462,14537,536,5
1586554262,15101,574,5
1586621042,15452,577,5
1586647152,15819,591,6
1586708299,16124,593,6
1586729403,16257,611,8
1586795583,16655,626,9
1586812683,16748,633,9
1586879162,17038,640,9
1586899922,17224,694,10
1586963762,17656,702,10
1586992563,17821,718,12
1587048543,18027,723,12
1587069543,18306,739,13
1587141027,18681,754,13
1587167222,19088,775,16
1587225243,19440,785,16
1587252663,19794,825,18
1587314942,20031,863,18
1587331983,21675,890,20
1587394562,22155,902,24
1587486302,22763,914,26
1587507668,25435,929,26
1587571827,25836,939,26
1587598379,26961,939,26
1587620923,26961,963,29
1587661123,27905,967,29
1587762002,29811,967,29
1587765483,32419,967,29
1587775503,32419,1010,32
1587833703,32966,1010,32
1587860522,33210,1025,33
1587925502,39063,1044,34
1588014902,43039,1063,36
1588049762,43227,1077,37
1588106308,44021,1077,37
1588117925,44021,1095,38
1588205805,44021,1109,40
1588294142,44700,1125,44
1588376822,47062,1125,44
1588391259,47062,1151,47
1588437662,49146,1151,47
1588465622,51115,1151,47
1588466696,51115,1184,50
1588527024,51638,1184,50
1588562642,51783,1184,50
1588566059,51783,1195,50
1588622342,53239,1206,50
1588644423,54075,1224,50
1588698294,54823,1224,50
1588719183,55157,1224,50
1588729982,55157,1242,50
1588774983,55784,1248,50
1588815482,56085,1276,51
1588891082,57995,1297,51
1588995062,59567,1323,52
1589047202,60997,1335,53
1589078462,61564,1347,53
1589163602,62885,1362,54
1589208122,63469,1366,54
1589247902,64165,1369,57
1589328642,65708,1378,58
1589387283,66680,1398,58
1589420702,67110,1404,59
1589489522,68713,1427,60
1589497202,68978,1434,62
1589557982,70936,1441,62
1589599196,71682,1447,64
1589660762,73393,1457,64
1589737323,75404,1492,65
1589758213,75490,1492,67
1589818983,76035,1492,67
1589926423,78611,1514,68
1590079262,83181,1593,70
1590270482,83181,1593,72
1590371050,85817,1771,72
