seconds_since_Epoch,tested,positive,deaths
1583651326,,0,
1583981098,1,1,
1584161186,2,2,
1584225606,3,3,
1584422731,10,10,
1584498947,105,11,
1584515664,15,15,
1584563351,193,15,
1584598356,193,18,
1584631342,251,17,
1584661658,275,18,
1584683488,289,18,
1584727343,350,19,
1584750869,366,20,
1584804875,366,22,
1584814996,461,23,
1584890168,461,24,
1584921301,484,26,
1584982168,527,26,
1584988373,618,26,
1585004414,680,28,
1585062732,715,29,
1585077155,739,29,
1585084902,739,30,
1585100787,739,31,
1585102036,739,33,
1585152300,930,41,
1585169789,998,44,
1585184300,998,47,
1585191176,998,49,
1585243622,1105,53,
1585267264,1105,55,
1585277218,1105,56,
1585324706,1281,70,
1585363508,1395,73,
1585414054,1557,82,
1585440114,1557,84,
1585499554,1640,86,
1585524040,1641,87,
1585588433,1826,94,
1585588836,1934,94,
1585611141,1934,95,
1585671592,2108,109,
1585697070,2198,120,0
1585760280,2348,130,0
1585783485,2465,137,0
1585843611,2589,150,0
1585868702,2669,153,0
1585933263,2866,162,0
1585959062,2940,166,0
1586017983,3132,187,0
1586106182,3237,197,0
1586129643,3412,200,0
1586190842,3929,210,0
1586214302,3929,212,0
1586275562,4005,216,0
1586305623,4064,221,0
1586380922,4149,221,0
1586408702,4379,230,0
1586469902,4974,230,0
1586477582,4974,239,0
1586554262,5255,239,0
1586562963,5255,253,0
1586641502,5458,261,0
1586725383,5570,270,0
1586805134,5963,270,0
1586817603,5963,270,1
1586899922,6129,270,1
1586908502,6130,282,1
1586966463,6328,287,2
1586986965,6328,288,2
1587071976,6426,296,2
1587161583,6521,296,2
1587167222,6521,305,2
1587252663,7139,305,2
1587252722,7139,309,2
1587331983,7385,313,2
1587436157,7617,317,2
1587504827,7617,322,6
1587598379,7617,326,6
1587681961,7763,332,7
1587765483,8044,332,7
1587775678,8044,349,7
1587858656,8359,362,7
1587946721,8527,370,7
1588028316,8614,389,7
1588117925,9076,396,7
1588204623,9298,396,7
1588205554,9298,404,7
1588287362,9463,404,7
1588293736,9463,415,7
1588376822,9882,415,7
1588390979,9882,420,7
1588458242,10068,420,7
1588466696,10068,429,7
1588566059,10068,435,7
1588634222,10762,435,7
1588644423,10762,444,7
1588715179,12305,444,7
1588730797,12305,452,7
1588815482,12714,452,7
1588826613,12714,479,7
1588891082,12900,479,7
1588897197,12900,483,7
1588994583,13314,483,7
1588995062,13314,490,7
1589078462,13523,490,7
1589158202,13955,490,7
1589173661,13955,504,7
1589246342,14052,504,7
1589251902,14052,510,7
1589328642,14788,513,7
1589420702,15230,513,7
1589423598,15230,523,7
1589497202,15416,523,7
1589518300,15416,529,7
1589598483,15847,529,7
1589607538,15847,541,7
1589669403,16708,541,7
1589737323,16708,559,8
1589747643,16896,559,8
1589772705,16896,566,8
1589848383,17248,566,8
1589855073,17248,577,10
1589926423,18048,577,10
1589926754,18048,583,10
1590006183,18648,583,10
1590028013,18648,596,11
1590122437,18648,608,12
1590220143,19423,608,12
1590271142,19835,608,12
1590369890,20188,608,12
1590451622,20702,608,12
