,abbr,date,daily_records,tested,positive,deaths,population,multipliler,tested_pm,positive_pm,deaths_pm,daily_tests,daily_positive,daily_deaths,daily_tests_pm,daily_positive_pm,daily_deaths_pm,daily_tests_7day_mean,daily_positive_7day_mean,daily_deaths_7day_mean,daily_tests_pm_7day_mean,daily_positive_pm_7day_mean,daily_deaths_pm_7day_mean,daily_test_rk,daily_positive_rk,daily_deaths_rk,daily_test_pm_rk,daily_positive_pm_rk,daily_deaths_pm_rk
0,AK,2020-03-08,2,23.0,0.0,0.0,731545,1,31.440307841622868,0.0,0.0,23.0,0.0,0.0,31.440307841622868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
1,AL,2020-03-08,1,0.0,0.0,0.0,4903185,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
2,AR,2020-03-08,1,6.0,0.0,0.0,3017804,0,1.9882006916287474,0.0,0.0,6.0,0.0,0.0,1.9882006916287474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
3,AZ,2020-03-08,1,56.0,5.0,0.0,7278717,0,7.6936635948340895,0.686934249538758,0.0,56.0,5.0,0.0,7.6936635948340895,0.686934249538758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
4,CA,2020-03-08,1,515.0,88.0,1.0,39512223,0,13.03394142111417,2.2271589224428094,0.025308624118668292,515.0,88.0,1.0,13.03394142111417,2.2271589224428094,0.025308624118668292,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
5,CO,2020-03-08,1,216.0,8.0,0.0,5758736,0,37.508230972907945,1.3891937397373313,0.0,216.0,8.0,0.0,37.508230972907945,1.3891937397373313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
6,CT,2020-03-08,2,38.0,1.0,0.0,3565287,0,10.658328488001107,0.28048232863160805,0.0,38.0,1.0,0.0,10.658328488001107,0.28048232863160805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
7,DC,2020-03-08,1,11.0,1.0,0.0,973764,1,11.296371605440333,1.0269428732218484,0.0,11.0,1.0,0.0,11.296371605440333,1.0269428732218484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
8,DE,2020-03-08,1,10.0,0.0,0.0,705749,1,14.169343491807995,0.0,0.0,10.0,0.0,0.0,14.169343491807995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
9,FL,2020-03-08,2,243.0,17.0,2.0,21477737,0,11.314041139436618,0.7915172813597634,0.09311968015997216,243.0,17.0,2.0,11.314041139436618,0.7915172813597634,0.09311968015997216,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
10,GA,2020-03-08,1,0.0,0.0,0.0,10617423,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
11,HI,2020-03-08,1,0.0,1.0,0.0,1415872,0,0.0,0.7062785336527596,0.0,0.0,1.0,0.0,0.0,0.7062785336527596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
12,IA,2020-03-08,1,17.0,0.0,0.0,3155070,0,5.388153036224236,0.0,0.0,17.0,0.0,0.0,5.388153036224236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
13,ID,2020-03-08,1,27.0,0.0,0.0,1787065,0,15.108571876232817,0.0,0.0,27.0,0.0,0.0,15.108571876232817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
14,IL,2020-03-08,1,241.0,6.0,0.0,12671821,0,19.018576730211073,0.47349153685172796,0.0,241.0,6.0,0.0,19.018576730211073,0.47349153685172796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
15,IN,2020-03-08,1,0.0,1.0,0.0,6732219,0,0.0,0.14853943402613612,0.0,0.0,1.0,0.0,0.0,0.14853943402613612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
16,KS,2020-03-08,1,0.0,1.0,0.0,2913314,0,0.0,0.34325170578935194,0.0,0.0,1.0,0.0,0.0,0.34325170578935194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
17,KY,2020-03-08,1,14.0,1.0,0.0,4467673,0,3.133622357768798,0.22383016841205702,0.0,14.0,1.0,0.0,3.133622357768798,0.22383016841205702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
